node_id,x,y,activity,terminal
B1,0,2,0.032254878517887033,false
B2,1,3,0.040318598147358789,false
B3,3,3.3999999999999999,0.048382317776830545,false
B4,5,3.2000000000000002,0.048382317776830545,false
B5,6,2.5,0.040318598147358789,false
B6,5.5,1.3,0.040318598147358789,false
B7,4,0.80000000000000004,0.040318598147358789,false
B8,2,0.69999999999999996,0.040318598147358789,false
B9,0.5,1,0.032254878517887033,false
C1,2.2000000000000002,2,0.092625562705978978,false
C2,4.0999999999999996,2,0.092625562705978978,false
N1,6.4000000000000004,2.7999999999999998,0.034217201908781851,false
N2,6.2999999999999998,1.8,0.030185342094045973,false
H1,7,3.2000000000000002,0.048275104743884314,false
H2,8,3.2000000000000002,0.066364867393722632,false
H3,8.5999999999999996,2.6000000000000001,0.066364867393722632,false
H4,8,2,0.056338824373356064,false
H5,7,2,0.048275104743884314,false
E1,7.2000000000000002,3.8999999999999999,0.0080637196294717581,false
E2,8.3000000000000007,3.7999999999999998,0.0080637196294717581,false
L1A,1.3999999999999999,0.20000000000000001,0.010918185409670746,false
L1B,1.3,-1.3999999999999999,0.0072787902731138304,false
L2A,2.6000000000000001,0.10000000000000001,0.010918185409670746,false
L2B,2.6000000000000001,-1.5,0.0072787902731138304,false
L3A,4,0.10000000000000001,0.010918185409670746,false
L3B,4,-1.5,0.0072787902731138304,false
L4A,5.0999999999999996,0.40000000000000002,0.010918185409670746,false
L4B,5.2000000000000002,-1.3,0.0072787902731138304,false
T1,-0.5,2.7000000000000002,0.0072787902731138304,false
T2,-1.2,3.2000000000000002,0.0056660463472194781,false
