node_id,x,y,activity,terminal
r1c1,1,5,0.024541570660522274,false
r1c2,2,5,0.027456557219662059,false
r1c3,3,5,0.040113167242703536,false
r1c4,4,5,0.033286530337941628,false
r1c5,5,5,0.036201516897081412,false
r2c1,1,4,0.024541570660522274,false
r2c2,2,4,0.027456557219662059,false
r2c3,3,4,0.040113167242703536,false
r2c4,4,4,0.033286530337941628,false
r2c5,5,4,0.036201516897081412,false
r3c1,1,3,0.053691436251920119,true
r3c2,2,3,0.056606422811059917,true
r3c3,3,3,0.11551699308755761,true
r3c4,4,3,0.062436395929339472,true
r3c5,5,3,0.06535138248847927,true
r4c1,1,2,0.024541570660522274,false
r4c2,2,2,0.027456557219662059,false
r4c3,3,2,0.040113167242703536,false
r4c4,4,2,0.033286530337941628,false
r4c5,5,2,0.036201516897081412,false
r5c1,1,1,0.024541570660522274,false
r5c2,2,1,0.027456557219662059,false
r5c3,3,1,0.040113167242703536,false
r5c4,4,1,0.033286530337941628,false
r5c5,5,1,0.036201516897081412,false
